Company Name,data_id,type,service_options,Overall Rating,Overall Address,Overall Reviews,parameter,place_id,Review,Engine,Rating,date,User Name,User Friends,User Photos,User Reviews,User Likes
Precision Home Pros Austin TX,,,,1.7,"1508 Dessau Ridge Ln Unit 302 Austin, TX 78754",12,precision-home-pros-austin-2,CU1gPXPeWPT-l7I1JjPjXQ,"This place is nothing but a scam, they will lie and steal from the elderly,the owner is a joke ,took my parents for a lot of money ,the cable lady came to install the stuff out her own password in so it wouldn't work,the alarm was 17 grand for 2 cheap ass cameras,1 keypad and it never worked,they are scammers,run away from this company it's a joke the owner won't ever call back or answer calls",Yelp,1,2024-10-15T21:48:51Z,Robert T.,0,0,3,
Precision Home Pros Austin TX,,,,1.7,"1508 Dessau Ridge Ln Unit 302 Austin, TX 78754",12,precision-home-pros-austin-2,CU1gPXPeWPT-l7I1JjPjXQ,"I'm a former employee and if I could go lower than 1 star I would. It's a scam and a lie. I left cause I was told I had to lie to my customers about prices plus the owner asked me to question my moral compass. As a tech each week I was only bring home about $300-$400, I never got paid overtime and I never got got reimbursement for gas. One night the boss bought tickets for a live game for everyone that wasn't working but i was still working till 9p.m. way past closing hours and received nothing. They target the older people and everything that's installed is Walmart brand. Christian likes to spend all your money luxury cars and cosmetic surgeries. The only plus side is I got to meet some amazing people that I couldn't lie to.",Yelp,1,2024-10-11T00:57:57Z,Tanis,0,0,1,
Precision Home Pros Austin TX,,,,1.7,"1508 Dessau Ridge Ln Unit 302 Austin, TX 78754",12,precision-home-pros-austin-2,CU1gPXPeWPT-l7I1JjPjXQ,"It is a flim-flam operation.  I was told verbally that the cost would be $1,700.  But, what they surreptitiously had me sign for was actually $17,000.  Somehow an extra zero was sneaked into the note for which I was signing.  I have had trouble with the security cameras that were installed and cannot get anyone from Precision Home Pros to respond to my calls.  The emergency alarm works on my control panel in my home but I receive no response from the monitoring company.  Twice I have accidently set off the alarm by accidently pressing the button on my neck device.  Once in my sleep and once when I was holding a heavy weight close to my body.  All I got was an email acknowledgement, no police or ambulance response.  Bottom line is that Precision Home Pros has all of the earmarks of being a scam.",Yelp,1,2024-10-08T17:09:17Z,Bill M.,0,0,2,
Precision Home Pros Austin TX,,,,1.7,"1508 Dessau Ridge Ln Unit 302 Austin, TX 78754",12,precision-home-pros-austin-2,CU1gPXPeWPT-l7I1JjPjXQ,"The owner of the company called and assisted me right away.  Thank you

The repair Tech Tyler was outstanding and very professional.  Took care of the problem.   Excellent job!",Yelp,5,2023-10-17T16:34:17Z,Christian E.,0,0,6,
Precision Home Pros Austin TX,,,,1.7,"1508 Dessau Ridge Ln Unit 302 Austin, TX 78754",12,precision-home-pros-austin-2,CU1gPXPeWPT-l7I1JjPjXQ,Great Service! Were happy with the outcome of the program and the customer service!  Theyve been very helpful and courteous.,Yelp,5,2024-03-14T18:51:43Z,Cindy S.,0,0,1,
Precision Home Pros Austin TX,,,,1.7,"1508 Dessau Ridge Ln Unit 302 Austin, TX 78754",12,precision-home-pros-austin-2,CU1gPXPeWPT-l7I1JjPjXQ,"IMHO, scam, scam, scam. 

They'll try and trick you into giving them tons of money and then threaten to sue you.",Yelp,1,2023-04-24T16:47:49Z,DISLEX f.,1,0,2,
Precision Home Pros Austin TX,,,,1.7,"1508 Dessau Ridge Ln Unit 302 Austin, TX 78754",12,precision-home-pros-austin-2,CU1gPXPeWPT-l7I1JjPjXQ,"What can I say but my husband and I don't usually fall for scams. BUT WE DID.  
This service was presented to us as a savings program for TV, cable and cell phones.   Guaranteeing lower costs on all of these services. Saving you $ on your bills every month.  Get rid of your current cable and go with  T-mobile and you tube Tv.   And they pay you cell phones off.  PLUS you get a home security system.   Which sounds great.  
They did pay my phone off.  Which was a good thing. BUIn the long run you will end up paying much more than that. 
1.  There was no contract presented to you. It was a phone call from owner asking you to agree to certain terms.  They didn't bother to disclose some important info.  
2.   You set up a payment plan of $85.01 per month for the home security system.  No Disclosure that this system 
Was being financed at an interest rate of 9.99% of which you end up paying the interest of $7000 for the first 7 years, then after 7 more years, you start paying the principal for 7 years.  
THE SCAM FOLKS is :::   You are paying 
$14,000.00 for your home security security system. 
3.   Plus, another non disclosure - $ 28.00 a monthly service fee from precision home pros.  So, over$120 a month for 14 years.",Yelp,1,2022-11-08T15:19:42Z,Bonnie D.,48,0,4,
Precision Home Pros Austin TX,,,,1.7,"1508 Dessau Ridge Ln Unit 302 Austin, TX 78754",12,precision-home-pros-austin-2,CU1gPXPeWPT-l7I1JjPjXQ,"Don't make my mistake. They Bait you with dropping your cable bill, then Switch you to buying an overpriced security system. On Jan 10, 2023, as I left a local grocery store I was approached by a representative of Precision Home Pros,  offering to lower my cable bill. He said they could be at my house in 2 hours to review the options. At my house, they explained how dropping cable and streaming TV instead would save me  $200 a month. I realized later PHP had no special discounts or authority with the internet providers. Any customer could get those deals. BUT, they told me, that PHP's deal included a home security system! This was the first time a security system was mentioned. I now know this was the only reason they were there, to sell me an overpriced security system. They asked me to do a credit app to see if I qualified for this great deal. I was assured, it's just the routine way we do it. They never asked if I needed a loan or would rather pay cash. They never showed a list of equipment that was included or discuss any details of the security system. They insisted on getting it done that night, which meant installing it outside in the dark. After they left, I printed the contract which I eSigned on a mobile phone. I was shocked to see I had signed a loan for $17,000 for 10 years at 9.99% APR for a total payback of $26,000! The plan was, the $200 they saved me monthly by dropping my cable services, would cover the monthly payment for the security system that I did not need. I searched online at a big box retailer and found the exact same Eufy components they had installed for a total of $1,346. A markup of over $15,000! The next morning I delivered a cancellation letter in person and sent them certified mail. I knew in these circumstances Texas law provides a ""3 Day Cool Down Window."" However, the owner is refusing,  saying I can only cancel the alarm monitoring, that I was stuck with the $17,000 loan for the $1,345 of equipment. I uninstalled and returned the equipment. The bank is asking for payment. The bank investigated but PHP told them I did not cancel or return equipment. Not true. Bad business.  I will not pay a dime. PHP needs to refund the money to the bank.",Yelp,1,2023-07-08T22:18:18Z,Dave S.,101,0,3,
Precision Home Pros Austin TX,,,,1.7,"1508 Dessau Ridge Ln Unit 302 Austin, TX 78754",12,precision-home-pros-austin-2,CU1gPXPeWPT-l7I1JjPjXQ,"Do NOT get scammed by these people like I did!  The system is cheap, they sign you up to pay for 10 years! The camera's do not work more than 2 or 3 days at a time.  They come out to service them at first, then ignore your calls after that.
Planning to get a lawyer involved to cancel this contract.",Yelp,1,2022-09-21T15:36:41Z,Carole H.,0,0,1,
Precision Home Pros Austin TX,,,,1.7,"1508 Dessau Ridge Ln Unit 302 Austin, TX 78754",12,precision-home-pros-austin-2,CU1gPXPeWPT-l7I1JjPjXQ,STOP...Do not sign up for this service it is a huge bait and switch scam. They will promise you all kind of things and not follow through. Please read the other reviews and do not sign anything,Yelp,1,2023-05-03T23:05:06Z,Terrilynn M.,23,0,2,
